Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Satisfaction Level
17850.0,Male,29,Los Angeles,Gold,8044.27,443,3.07,False,Neutral
13047.0,Female,34,Houston,Silver,7393.19,415,3.29,False,Neutral
12583.0,Male,56,Miami,Gold,3043.45,395,1.52,False,Unsatisfied
13748.0,Male,26,Miami,Silver,679.77,134,4.36,False,Satisfied
15100.0,Male,52,Los Angeles,Bronze,1511.31,326,4.15,True,Neutral
15291.0,Female,30,New York,Bronze,8399.11,160,3.63,True,Neutral
14688.0,Male,32,New York,Gold,7339.02,39,2.86,True,Satisfied
17809.0,Male,35,New York,Gold,6676.91,176,4.86,True,Neutral
15311.0,Male,68,Miami,Gold,1393.42,13,4.52,False,Satisfied
14527.0,Female,50,Houston,Silver,6435.31,315,3.58,True,Satisfied
16098.0,Male,23,Los Angeles,Bronze,7744.31,67,2.49,False,Unsatisfied
18074.0,Male,44,Chicago,Gold,8619.96,440,3.47,False,Satisfied
17420.0,Male,40,Houston,Gold,230.99,248,3.3,True,Unsatisfied
16029.0,Male,44,Chicago,Gold,6876.3,41,2.58,True,Neutral
16250.0,Female,51,Houston,Silver,289.07,184,2.23,True,Satisfied
12431.0,Male,63,New York,Gold,7098.04,35,2.63,True,Unsatisfied
17511.0,Female,55,Miami,Gold,6392.65,422,3.3,True,Satisfied
17548.0,Female,31,Chicago,Silver,1568.64,337,2.71,False,Neutral
13705.0,Female,53,Houston,Silver,7684.61,451,2.05,False,Unsatisfied
13747.0,Male,25,Miami,Gold,776.64,290,4.04,True,Unsatisfied
13408.0,Female,52,Chicago,Gold,8281.35,76,3.13,True,Unsatisfied
13767.0,Male,36,Los Angeles,Silver,2693.1,472,1.27,True,Neutral
17924.0,Female,47,Houston,Bronze,6919.63,70,2.47,True,Unsatisfied
13448.0,Female,31,Los Angeles,Silver,9244.52,234,4.54,True,Neutral
15862.0,Female,37,New York,Bronze,3464.29,11,4.02,True,Neutral
15513.0,Female,66,Los Angeles,Gold,5078.65,368,2.29,False,Satisfied
12791.0,Female,42,Los Angeles,Gold,4684.87,283,4.75,False,Neutral
16218.0,Female,57,Houston,Bronze,1660.35,304,1.31,True,Unsatisfied
14045.0,Female,41,New York,Silver,5944.09,24,4.84,True,Unsatisfied
14307.0,Female,31,Los Angeles,Gold,7455.72,274,1.98,False,Neutral
17908.0,Male,43,Miami,Bronze,9177.06,27,1.04,True,Neutral
17920.0,Male,55,Chicago,Silver,8522.95,54,2.74,True,Satisfied
12838.0,Female,40,Los Angeles,Bronze,5149.19,55,2.44,True,Satisfied
13255.0,Female,39,New York,Silver,7218.27,376,3.16,False,Unsatisfied
16583.0,Female,65,Los Angeles,Silver,8027.76,233,4.19,True,Neutral
18085.0,Male,36,Chicago,Silver,4985.54,277,4.37,False,Unsatisfied
13758.0,Female,63,New York,Silver,1242.73,443,2.6,True,Neutral
13694.0,Male,68,Houston,Bronze,4435.51,371,2.72,True,Unsatisfied
15983.0,Male,20,New York,Bronze,8440.53,418,1.59,False,Unsatisfied
14849.0,Male,59,Houston,Bronze,6006.75,120,1.19,True,Unsatisfied
17968.0,Male,36,New York,Bronze,7272.14,225,3.56,False,Neutral
16210.0,Male,26,Chicago,Bronze,1934.15,58,1.26,False,Satisfied
17897.0,Female,45,Chicago,Silver,9646.94,255,3.94,True,Satisfied
17377.0,Female,37,New York,Gold,4100.4,176,3.16,False,Neutral
16552.0,Female,62,Los Angeles,Gold,6570.99,54,1.79,False,Satisfied
17181.0,Female,24,Chicago,Bronze,286.84,146,3.16,True,Unsatisfied
17951.0,Female,31,Houston,Bronze,1360.46,259,1.73,True,Neutral
14729.0,Male,26,Houston,Gold,7842.14,152,2.75,True,Neutral
12748.0,Female,36,Miami,Silver,9682.9,385,4.2,False,Satisfied
15012.0,Female,64,Houston,Bronze,3268.55,262,2.85,True,Satisfied
12868.0,Male,69,Miami,Silver,468.09,19,1.59,True,Unsatisfied
17572.0,Female,31,New York,Gold,3672.58,342,3.9,True,Neutral
14078.0,Male,55,New York,Gold,272.93,371,1.75,True,Satisfied
14001.0,Female,53,New York,Bronze,2004.49,171,3.95,False,Neutral
12662.0,Male,57,Los Angeles,Silver,7549.47,379,2.92,True,Unsatisfied
15525.0,Female,34,Los Angeles,Bronze,9377.18,392,2.81,True,Unsatisfied
14237.0,Female,47,Miami,Gold,965.75,197,4.41,True,Unsatisfied
17905.0,Male,26,Houston,Silver,5623.22,436,3.83,True,Neutral
15485.0,Male,50,Houston,Bronze,2613.42,73,1.13,True,Neutral
