Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Satisfaction Level
17850.0,,29.0,Los Angeles,Gold,8044.27,443.0,3.07,False,Neutral
13047.0,Female,,Houston,Silver,7393.19,415.0,3.29,False,Neutral
12583.0,Male,56.0,,,3043.45,395.0,1.52,False,
13748.0,,26.0,Miami,Silver,679.77,134.0,4.36,False,Satisfied
15100.0,Male,52.0,Los Angeles,Bronze,1511.31,,4.15,,Neutral
15291.0,Female,30.0,New York,Bronze,8399.11,160.0,,True,Neutral
14688.0,Male,32.0,New York,Gold,7339.02,39.0,2.86,True,Satisfied
17809.0,Male,35.0,New York,Gold,6676.91,176.0,4.86,True,Satisfied-
15311.0,Male,68.0,Miami,Gold,1393.42,13.0,4.52,False,Satisfied
14527.0,Female,50.0,,,6435.31,315.0,3.58,True,Satisfied
16098.0,,23.0,Los Angeles,Bronze,7744.31,67.0,2.49,False,Unsatisfied
18074.0,Male,44.0,Chicago,,8619.96,440.0,3.47,False,Unsatisfied-
17420.0,Male,40.0,Houston,Gold,230.99,248.0,3.3,True,Unsatisfied
16029.0,Male,44.0,,Gold,6876.3,41.0,2.58,True,Neutral
16250.0,Female,51.0,Houston,Silver,289.07,184.0,2.23,True,Satisfied
,Male,63.0,New York,Gold,7098.04,35.0,2.63,True,Unsatisfied
17511.0,Female,55.0,Miami,Gold,6392.65,422.0,3.3,True,
17548.0,Female,31.0,Chicago,,1568.64,337.0,2.71,False,Neutral
13705.0,Female,53.0,Houston-,Silver,7684.61,451.0,2.05,False,Unsatisfied
13747.0,Male,25.0,Miami,Gold,776.64,290.0,4.04,True,Unsatisfied
13408.0,,52.0,Chicago,Gold,,76.0,3.13,True,Unsatisfied
13767.0,Male,36.0,Los Angeles,Silver,2693.1,472.0,1.27,,
17924.0,Female,47.0,Houston,Bronze,6919.63,70.0,2.47,True,Unsatisfied
13448.0,Female,31.0,Los Angeles,Silver,9244.52,234.0,4.54,True,Neutral
15862.0,Female,37.0,,Bronze,3464.29,11.0,4.02,True,Neutral
15513.0,Female,66.0,Los Angeles,Gold,5078.65,,2.29,,Satisfied
